idCountry,Name,Capital,Continent,Region,SurfaceArea,IndeptYear,Population,LifeExpectancy,GDP,LocalName,GovernmentForm,PoliticalSystem,"GCR (Gold Currency Reserve)",CodeISO
1.,Аруба,Ораньєстад,"Північна Америка",Кариби,180,Null,107265,78.0,28863,Аруба,"Не метрополія (агрономна територія Нідерландів)",Null,982,AW
2.,"Ісламський Емірат Афганістан",Кабул,Азія,"Південно - центральна Азія",652864,1919,39232003,53.7,507,Афганістан,"Абсолютна монархія","Унітарна теократична ісламська держава",6500,AF
3.,"Республіка Ангола",Луанда,Африка,"Південна Африка",1276700,1975,37290193,62.1,4101,Ангола,"Президентська республіка","Унітарна держава",23000,AO
4.,Ангілья,Валлі,"Північна Америка",Кариби,91,Null,18090,82.2,4260,Ангілья,"Не метрополія (самоврядна заморська територія Великобританії)",Null,Null,AI
5.,"Республіка Албанія",Тирана,Європа,"Південна Європа",27748,1912,2862427,79.5,5284,"Шкіперія ","Парламентська республіка","Унітарна держава",3764,AL
6.,"Князівство Андорра ",Андорра-ла-Велья,Європа,"Південна Європа",468,1278,76177,83.4,53383,Андорра,"Пірламентська демократія і Князівство","Унітарна держава",Null,AD
7.,"Королівство Нідерландів",Амстердам,Європа,"Західна Європа",41526,1648,17333790,82.2,38618,Нідерланди,"Парламентська конституційна монархія","Унітарна держава",37966,NL
8.,"Об'єднанні Арабські емірати",Абу-Дабі,Азія,"Західна Азія",83600,1971,9992083,79.6,27700,Емірати,"Федерація абсолютних монархій","Суверенна абсолютна монархія",106700,AE
9.,"Аргентинська республіка",Буенос-Айрес,"Південна Америка","Південна Америка",2780400,1816,47327407,78.3,9054,Аргентина,"Президентська республіка","Федеративна держава",54100,AR
10.,"Республіка Вірменія",Єреван,Азія,Кавказ,29800,1991,2791000,76.1,4270,Гаястан,"Парламентсько-президентська республіка","Унітарна держава",2850,AM
11.,"Незалежна держава Самоа",Аліа,"Австралія та Океанія",Полінезія,2832,1962,187820,75.2,4231,Самоа,"Конституційна монархія","Унатірна держава",185,WS
12.,"Австралійський союз",Канберра,"Австралія та Океанія",Австалазія,7688287,1901,25250000,83.1,69655,Австралія,"Конституційна монархія","Федеративна держава",48430,AU
13.,"Японська держава",Токіо,Азія,"Східна Азія",377972,1951,126476461,84.8,39306,"Ніхон коку","Парламентська конституційна монархія","Унітарна держава",1340058,JP
14.,"Алжирська Народна Демократична Республіка",Алжир,Африка,"Північна Африка",2381740,1962,45400000,78,3898,Алжир,"Президентсько-парламентська республіка","Унітарна держава",71798,DZ
"15. ",Гренландія,Нуук,"Північна Америка",Антарктика,2166086,Null,56968,74,19000,Калаалліт,"Не метрополія (автономна установча країна в складі Данії)",Null,Null,GL
16.,Канада,Оттава,"Північна Америка","Північна Америка",9984670,1867,38246108,65,52085,Канада,"Конституційна монархія",Федерація,Null,CA
17.,Мексика,Мехіко,"Північна Америка",Мексика,1964375,1810,126014024,64,9945,Мексика,"Федеративна республіка","Федеративна держава",Null,MX
18.,Бразилія,Бразилія,"Південна Америка",Бразилія,8515767,1822,213993437,25,7533,Бразилія,"Федеративна республіка","Федеративна держава",Null,BR
19.,Чилі,Сантьяго,"Південна Америка",Чилі,756102,1818,19212361,25,15098,Чилі,"Президентська республіка","Президенстька республіка",Null,CL
20.,Китай,Пекін,Азія,Китай,9596961,1949,1411778724,147,12551,Китай,"Соціалістична республіка","Соціалістична республіка",Null,CN
21.,Індія,Нью-Делі,Азія,Індія,3287263,1947,1393409038,424,2099,Барат,"Федеративна республіка","Федеративна держава",Null,IN
22.,Єгипет,Каїр,Африка,Єгипет,1001450,1922,104258327,104,3607,Міср,"Президентська республіка","Президентська держава",Null,EG
23.,Нігерія,Абуджа,Африка,Нігерія,923769,1960,213401323,231,2097,Нігерія,"Президентська республіка","Президентська держава",Null,NG
24.,"Німеччина ",Берлін,Європа,Німеччина,357022,1990,83129285,232,46216,Німеччина,"Федеративна республіка","Федеративна республіка",Null,DE
25.,Франція,Париж,Європа,Франція,551695,1792,67413000,122,41464,Франція,"Напівпрезидентська республіка","Напівпрезидентська держава",Null,FR
26.,"Нова Зеландія",Веллінгтон,"Австралія та Океанія","Нова Зеландія",268021,1947,5084300,19,41800,"Нова Зеландія","Конституційна монархія","Конституційна держава",Null,NZ
27.,Фіджі,Сува,"Австралія та Океанія",Фіджі,18274,1970,902906,49,5496,Фіджі,"Парламентська республіка","Парламентська держава",Null,FJ
